Latitude,Longitude,Name,Times recommended,Recommended by,Rating,Reviews,Category,Google category,Notes,Website
43.2814397,5.3516585,Poissonnerie Kennedy,1,List 1,4.3,412,Dinner,Restaurant,,https://www.poissonneriekennedy.com/
43.29356180000001,5.3790122,SAISON,1,List 1,5,200,Shop,Clothing Store,,http://www.saisonshop.fr/
43.2974206,5.3721747,Maison Mere,1,List 1,4,151,Shop,Clothing Store,,http://maisonmere.eu/
43.3022145,5.3904216,Les Rigoles,1,List 1,4.5,119,Dinner,Restaurant,,http://instagram.com/lesrigoles.marseille/
43.2876108,5.3790486,Zaÿ Zaÿ,1,List 1,4.8,867,Wine Bar,Bar,,https://www.instagram.com/zayzay.restaurant/
43.28160099999999,5.3514,Pigment,1,List 1,4.6,164,Wine Bar,Bar,,https://www.instagram.com/pigment.marseille
43.2939021,5.388819199999999,Josie café,1,List 1,4.9,118,Coffee / Lunch,Cafe,,https://www.josiecoffee.fr/
43.2973468,5.3834434,Zitoune,1,List 1,4.9,72,Coffee / Lunch,Cafe,,https://www.instagram.com/cafe_zitoune/
43.2399839,5.3669869,Campagne Pastré,1,List 1,4.5,318,Beach / Swim,Park,,
43.228509,5.351584,Saména,1,List 1,,,Other,Neighborhood,,
43.2961486,5.378633400000001,Maison Empereur,1,List 1,4.7,2579,Shop,Furniture Store,,https://empereur.fr/
43.2847928,5.3751599,Au Contraire Pâtisserie,1,List 1,4.9,247,Coffee / Lunch,Bakery,,http://www.aucontrairepatisserie.com/
43.28301270000001,5.350228,LOULOU MONSIEUR GLACE Malmousque,1,List 1,4.4,250,Other,Ice Cream,,https://louloumonsieurglace.com/
43.29701499999999,5.3686023,Glacier Vanille Noire,1,List 1,4.4,1992,Other,Ice Cream,,http://www.vanillenoire.com/
43.293381,5.3738487,Tigermilk Marseille,1,List 1,4.9,6587,Dinner,Restaurant,,https://tigermilkrestaurants.com/fr/restaurants/marseille/
43.287266,5.359915,Bercail,1,List 1,4.8,83,Dinner,Restaurant,,https://www.instagram.com/bercail.marseille/?next=%2F
43.2928675,5.3761925,TAQUIN MARSEILLE,1,List 1,4.6,360,Dinner,Restaurant,,
43.2948818,5.3843387,Le Comptoir de Becca,1,List 1,4.9,425,Dinner,Restaurant,,https://lecomptoirdebecca.eatbu.com/?lang=fr
43.2944098,5.3837717,La Ola,1,List 1,4.8,252,Dinner,Restaurant,,https://bookings.zenchef.com/results?rid=362036&pid=1001
43.2943568,5.3768536,Café La Fiancée,1,List 1,4.7,3274,Dinner,Restaurant,,http://www.cafelafiancee.com/
43.293499,5.3751768,Deep,1,List 1,4.6,1074,Coffee / Lunch,Cafe,,http://www.deep.coffee/
43.2854114,5.377159199999999,Succulentes Cafe,1,List 1,4.8,152,Coffee / Lunch,Bakery,,http://www.succulentescafe.com/
43.2992991,5.368024,Dutch café,1,List 1,4.8,351,Wine Bar,Bar,,
43.2897156,5.379655899999999,Oh Faon !,1,List 1,4.8,1225,Coffee / Lunch,Bakery,,http://www.ohfaon.com/
43.30604020000001,5.364757,Copper Branch Marseille,1,List 1,4.4,60,Dinner,Restaurant,,https://copperbranch.fr/
43.30426689999999,5.3946029,Palais Longchamp,1,List 1,4.6,20092,Culture,Museum,,https://www.marseille.fr/culture/patrimoine-culturel/le-palais-longchamp
43.2906568,5.3554392,Plage des Catalans,1,List 1,4,4629,Beach / Swim,Natural Feature,,
